filename,timestamp,polarity
180821_Smp_MS9C215m_B.mzML,2018-08-31T13:52:09Z,neg
180821_Smp_MS9C215m_C.mzML,2018-08-24T08:26:13Z,neg
180821_Smp_MS9C2175m_A.mzML,2018-08-30T16:49:28Z,neg
180821_Smp_MS9C2175m_B.mzML,2018-08-24T15:10:17Z,neg
180821_Smp_MS9C2175m_C.mzML,2018-08-22T20:42:44Z,neg
180821_Smp_MS9C2DCM_A.mzML,2018-08-30T14:17:58Z,neg
180821_Smp_MS9C2DCM_B.mzML,2018-08-24T05:04:17Z,neg
180821_Smp_MS9C2DCM_C.mzML,2018-08-30T13:27:29Z,neg
180821_Std_4uMStdsMix1InH2O_1.mzML,2018-08-22T04:43:07Z,neg
180821_Std_4uMStdsMix1InH2O_2.mzML,2018-08-28T06:44:32Z,neg
180821_Std_4uMStdsMix1InH2O_3.mzML,2018-08-31T19:45:42Z,neg
180821_Std_4uMStdsMix1InMatrix_1.mzML,2018-08-22T06:24:10Z,neg
180821_Std_4uMStdsMix1InMatrix_2.mzML,2018-08-28T04:13:00Z,neg
180821_Std_4uMStdsMix1InMatrix_3.mzML,2018-08-31T18:04:41Z,neg
180821_Std_4uMStdsMix2InH2O_1.mzML,2018-08-22T05:33:38Z,neg
180821_Std_4uMStdsMix2InH2O_2.mzML,2018-08-28T07:35:01Z,neg
180821_Std_4uMStdsMix2InH2O_3.mzML,2018-08-31T20:36:13Z,neg
180821_Std_4uMStdsMix2InMatrix_1.mzML,2018-08-22T07:14:39Z,neg
180821_Std_4uMStdsMix2InMatrix_2.mzML,2018-08-28T05:03:33Z,neg
180821_Std_4uMStdsMix2InMatrix_3.mzML,2018-08-31T18:55:13Z,neg
180821_Std_H2OInMatrix_1.mzML,2018-08-22T09:46:09Z,neg
180821_Std_H2OInMatrix_2.mzML,2018-08-28T03:22:29Z,neg
180821_Std_H2OInMatrix_3.mzML,2018-08-31T17:14:12Z,neg
190715_Blk_KM1906U14-Blk_C.mzML,2019-07-14T15:25:46Z,neg
190715_Poo_TruePooFK180310_Full1.mzML,2019-07-19T00:33:17Z,neg
