feature,mzmed,rtmed,compound_name,structure,class,cruise,polarity
FT1513,300.2017207302929,1.880255381266276,NA,NA,NA,FK,pos
FT1518,304.1754664549649,1.5951032002766927,NA,NA,NA,FK,pos
FT1558,314.09170211417415,3.962385686238606,NA,NA,NA,FK,pos
FT1563,317.99111418274543,13.145756022135416,NA,NA,NA,FK,pos
FT1578,329.1342304433334,8.980779012044271,NA,NA,NA,FK,pos
FT1583,333.9685289036572,13.11134033203125,NA,NA,NA,FK,pos
FT1584,334.1327150738118,10.253656514485677,NA,NA,NA,FK,pos
FT1618,344.22795810648387,1.8359631856282552,NA,NA,NA,FK,pos
FT1621,347.1448286453636,9.375792439778646,NA,NA,NA,FK,pos
FT1622,347.1450233178782,6.268218739827475,NA,NA,NA,FK,pos
FT1626,348.2017693039221,1.5829644521077475,NA,NA,NA,FK,pos
FT1631,352.2329316511748,1.7593645731608072,NA,NA,NA,FK,pos
FT1634,352.9282702602119,13.23401896158854,NA,NA,NA,FK,pos
FT1674,363.015553439997,13.145125325520834,NA,NA,NA,FK,pos
FT1675,366.9094954921285,13.1475341796875,NA,NA,NA,FK,pos
FT1680,368.9426317668865,13.143706766764325,NA,NA,NA,FK,pos
FT1699,385.1286947179492,8.822920735677084,S-Adenosylhomocysteine,NA,NA,FK,pos
FT1700,386.0422143742244,3.799587631225586,NA,NA,NA,FK,pos
FT1701,388.2542037068019,1.7893711090087892,NA,NA,NA,FK,pos
FT1704,393.95477408033304,13.138636271158854,NA,NA,NA,FK,pos
FT1710,402.1285829168488,5.246107737223308,NA,NA,NA,FK,pos
FT1717,413.77816099613005,2.956006876627604,NA,NA,NA,FK,pos
FT1750,467.9223216731474,13.137206013997394,NA,NA,NA,FK,pos
FT1751,478.0097435401282,13.138636271158854,NA,NA,NA,FK,pos
FT1752,481.9034545394939,13.150863069010416,NA,NA,NA,FK,pos
FT0024,60.99184396590865,10.473526509602864,NA,NA,NA,FK,neg
FT0027,61.98707124995552,4.691229248046875,NA,NA,NA,FK,neg
FT0056,71.0126305241181,4.141753387451172,NA,NA,NA,FK,neg
FT0080,74.99259218471195,7.681321716308593,NA,NA,NA,FK,neg
FT0111,78.91767976502894,7.501694742838541,NA,NA,NA,FK,neg
FT0114,79.9561332470117,13.126271565755207,NA,NA,NA,FK,neg
FT0126,80.91562678874303,7.490978584765625,NA,NA,NA,FK,neg
FT0179,89.02324745073459,5.024637858072917,NA,NA,NA,FK,neg
FT0193,91.02089151741936,2.311145782470703,NA,NA,NA,FK,neg
FT0227,92.95875441342268,9.668184407552085,NA,NA,NA,FK,neg
FT0228,92.95875046524148,8.318706766764324,NA,NA,NA,FK,neg
FT0241,94.95589057230596,9.68299051920573,NA,NA,NA,FK,neg
FT0266,96.96863430407714,9.5780756632487,NA,NA,NA,FK,neg
FT0283,97.96303368031852,13.13030293782552,NA,NA,NA,FK,neg
FT0287,98.95466233286692,13.122029622395834,NA,NA,NA,FK,neg
FT0291,98.96305252096268,13.119998677571614,NA,NA,NA,FK,neg
FT0294,98.96568960040078,9.587646484375,NA,NA,NA,FK,neg
FT0399,110.92492151454692,9.522865804036458,NA,NA,NA,FK,neg
FT0405,112.92205727800736,9.52484130859375,NA,NA,NA,FK,neg
FT0409,114.01923298149347,3.364450963338216,NA,NA,NA,FK,neg
FT0410,114.9192585772876,9.547704060872396,NA,NA,NA,FK,neg
FT0415,115.0255134829237,3.3596928914388022,"Uracil, 15N2, 2H2",NA,NA,FK,neg
FT0428,116.92745696055724,15.815594482421874,NA,NA,NA,FK,neg
FT0435,117.01821379162936,11.604377746582031,Succinic acid,NA,NA,FK,neg
FT0454,121.04337696757985,11.587645467122396,"Succinic acid, 2H4",NA,NA,FK,neg
FT0477,124.00634993297388,9.806722513834636,Taurine,NA,NA,FK,neg
FT0478,124.99036109319836,6.136057281494142,Isethionic acid,NA,NA,FK,neg
FT0483,126.90399335538316,4.812976582845052,NA,NA,NA,FK,neg
FT0492,129.0597196102517,2.7525694529215494,"Thymine, 2H4",NA,NA,FK,neg
FT0523,132.86687566649468,9.657258097330727,NA,NA,NA,FK,neg
FT0568,134.04620174205454,3.842767588297526,Adenine,NA,NA,FK,neg
FT0601,136.0403132843624,3.826730855305989,NA,NA,NA,FK,neg
FT0629,138.9369655228404,13.677564493815105,NA,NA,NA,FK,neg
FT0654,141.0659906888364,8.354297383626301,Ectoine,NA,NA,FK,neg
FT0655,142.91628687083056,7.520279947916666,NA,NA,NA,FK,neg
FT0681,145.06095562396604,10.023600260416666,NA,NA,NA,FK,neg
FT0689,146.04496815191766,10.921553548177084,NA,NA,NA,FK,neg
FT0693,146.96503256932635,4.654106648763021,NA,NA,NA,FK,neg
FT0697,147.02900539419204,11.753280639648438,NA,NA,NA,FK,neg
FT0724,150.0412542813566,6.681722513834635,Guanine,NA,NA,FK,neg
FT0732,152.9167565229659,13.673179117838542,NA,NA,NA,FK,neg
FT0765,157.12256318966368,1.719281832377116,NA,NA,NA,FK,neg
FT0828,176.8359377982838,8.19879608154297,NA,NA,NA,FK,neg
FT0829,176.91619794787442,13.128107706705729,NA,NA,NA,FK,neg
FT0835,179.08679003951994,4.100394694010417,NA,NA,NA,FK,neg
FT0850,182.82433824630556,7.736784362792969,NA,NA,NA,FK,neg
FT0901,196.9228097736571,13.124378458658857,NA,NA,NA,FK,neg
FT0902,196.93066516141445,13.126386006673178,NA,NA,NA,FK,neg
FT0926,212.07472797419047,7.834169514973959,NA,NA,NA,FK,neg
FT0971,216.8966138758767,13.29337463378906,NA,NA,NA,FK,neg
FT0977,220.78640313874487,8.073602549235027,NA,NA,NA,FK,neg
FT0984,224.81183174395636,8.355930074055989,NA,NA,NA,FK,neg
FT1009,244.08270575222667,8.817743937174479,NA,NA,NA,FK,neg
FT1048,260.7408311209873,7.543943277994791,NA,NA,NA,FK,neg
FT1050,264.73670713493146,7.543508911132812,NA,NA,NA,FK,neg
FT1051,266.7345483643213,7.523056030273437,NA,NA,NA,FK,neg
FT1052,267.0724440881526,10.056936645507813,Inosine,NA,NA,FK,neg
FT1098,292.89516888081494,13.138741048177083,NA,NA,NA,FK,neg
FT1138,316.8609060460641,13.137632751464844,NA,NA,NA,FK,neg
FT1141,318.73746041378,5.101121012369791,NA,NA,NA,FK,neg
FT1144,330.8421427384767,13.135858154296876,NA,NA,NA,FK,neg
FT1180,341.10920662239187,10.137511189778646,Lactose/Maltose/Trehalose/Sucrose,NA,NA,FK,neg
FT1195,353.149588973957,11.015726725260416,"Sucrose, 13C12/Trehalose, 13C12",NA,NA,FK,neg
FT1196,353.1496104120323,10.108863321940104,NA,NA,NA,FK,neg
FT1253,412.8318899099884,13.137941487630208,NA,NA,NA,FK,neg
