"cruise","station","cast","rosette","pressure"
"FK","56",1,13,25.4
"FK","56",1,12,50.3
"FK","56",1,11,75
"FK","56",1,10,75.2
"FK","56",1,9,101.2
"FK","56",1,8,100.8
"FK","56",1,7,106.1
"FK","56",1,6,104.3
"FK","56",1,5,105.8
"FK","56",1,4,105.1
"FK","56",1,3,125.2
"FK","56",1,2,155.4
"FK","56",1,1,251.4
"FK","57",1,12,117.1
"FK","57",1,11,117
"FK","57",1,10,116.3
"FK","57",1,9,117.6
"FK","57",1,8,116.8
"FK","57",1,7,117.2
"FK","57",1,6,117
"FK","57",1,5,117.3
"FK","57",1,4,117.1
"FK","57",1,3,117.3
"FK","57",1,2,117.2
"FK","57",1,1,117.7
"FK","58",1,6,4.9
"FK","58",1,5,15
"FK","58",1,4,51.3
"FK","58",1,3,111.8
"FK","58",1,2,111.7
"FK","58",1,1,249.4
"FK","59",1,20,5.5
"FK","59",1,19,5.2
"FK","59",1,18,25.6
"FK","59",1,17,26.1
"FK","59",1,16,26.4
"FK","59",1,15,26.5
"FK","59",1,14,45
"FK","59",1,13,45.6
"FK","59",1,12,74.4
"FK","59",1,11,74.1
"FK","59",1,10,99.4
"FK","59",1,9,100.3
"FK","59",1,8,108.3
"FK","59",1,7,108.2
"FK","59",1,6,126.2
"FK","59",1,5,124.9
"FK","59",1,4,151.6
"FK","59",1,3,150.3
"FK","59",1,2,174.4
"FK","59",1,1,175.2
"FK","60",1,16,6.1
"FK","60",1,15,5.1
"FK","60",1,14,14.7
"FK","60",1,13,15
"FK","60",1,12,24.9
"FK","60",1,11,25.6
"FK","60",1,10,25.4
"FK","60",1,9,24.7
"FK","60",1,8,25.2
"FK","60",1,7,25
"FK","60",1,6,49.4
"FK","60",1,5,100.4
"FK","60",1,4,100.6
"FK","60",1,3,126.7
"FK","60",1,2,249.8
"FK","60",1,1,250.7
"FK","61",1,16,25.2
"FK","61",1,15,25.7
"FK","61",1,14,25.3
"FK","61",1,13,25.9
"FK","61",1,12,25.6
"FK","61",1,11,25.2
"FK","61",1,10,25.4
"FK","61",1,9,24.7
"FK","61",1,8,125.2
"FK","61",1,7,125.3
"FK","61",1,6,125.8
"FK","61",1,5,125
"FK","61",1,4,124.5
"FK","61",1,3,125.3
"FK","61",1,2,124.8
"FK","61",1,1,125.1
"FK","62",1,24,5.3
"FK","62",1,23,15.5
"FK","62",1,22,25
"FK","62",1,21,24.9
"FK","62",1,20,25.1
"FK","62",1,19,25.3
"FK","62",1,18,25.7
"FK","62",1,17,25.5
"FK","62",1,16,25.7
"FK","62",1,15,25.2
"FK","62",1,14,24.6
"FK","62",1,13,24.4
"FK","62",1,12,24.9
"FK","62",1,11,50.1
"FK","62",1,10,98.2
"FK","62",1,9,98.1
