"cruise","station","cast","rosette","pressure","temp","sal","theta","dic","alk","ph","oxy_um","het_abund","pro_abund","syn_abund","euk_abund"
"FK","37",1,11,25.5,22.853,35.123,22.848,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,10,50.6,22.676,35.151,22.666,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,9,75.2,22.432,35.19,22.417,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,8,75,22.449,35.188,22.434,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,7,97.4,21.269,35.177,21.25,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,6,98.5,21.264,35.176,21.245,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,5,98,21.264,35.176,21.245,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,4,100.6,21.24,35.173,21.221,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,3,100.9,21.238,35.172,21.219,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,2,125.8,20.12,35.091,20.097,NA,NA,NA,NA,NA,NA,NA,NA
"FK","37",1,1,250.8,13.416,34.294,13.381,NA,NA,NA,NA,NA,NA,NA,NA
"FK","38",1,6,5.1,24.042,35.167,24.041,NA,NA,NA,NA,NA,NA,NA,NA
"FK","38",1,5,5.5,24.045,35.167,24.044,NA,NA,NA,NA,NA,NA,NA,NA
"FK","38",1,4,74.9,22.225,35.205,22.21,NA,NA,NA,NA,NA,NA,NA,NA
"FK","38",1,3,75.7,22.205,35.206,22.19,NA,NA,NA,NA,NA,NA,NA,NA
"FK","38",1,2,99.9,21.151,35.17,21.132,NA,NA,NA,NA,NA,NA,NA,NA
"FK","38",1,1,101,21.137,35.167,21.118,NA,NA,NA,NA,NA,NA,NA,NA
"FK","39",1,8,6,23.696,35.12,23.695,NA,NA,NA,NA,NA,NA,NA,NA
"FK","39",1,7,5.5,23.7,35.12,23.699,NA,NA,NA,NA,NA,NA,NA,NA
"FK","39",1,6,75.3,22.162,35.186,22.147,NA,NA,NA,NA,NA,NA,NA,NA
"FK","39",1,5,74.4,22.2,35.183,22.185,NA,NA,NA,NA,NA,NA,NA,NA
"FK","39",1,4,100,21.487,35.211,21.468,NA,NA,NA,NA,NA,NA,NA,NA
"FK","39",1,3,99.8,21.487,35.211,21.468,NA,NA,NA,NA,NA,NA,NA,NA
"FK","39",1,2,110.4,21.042,35.171,21.021,NA,NA,NA,NA,NA,NA,NA,NA
"FK","39",1,1,110.7,21.037,35.17,21.016,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,24,4.8,23.454,35.157,23.453,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,23,4.9,23.454,35.157,23.453,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,22,4.9,23.454,35.157,23.453,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,21,5.2,23.454,35.157,23.453,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,20,5.5,23.454,35.157,23.453,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,19,25,22.81,35.147,22.805,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,18,25.2,22.808,35.147,22.803,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,17,25,22.81,35.147,22.805,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,16,45.2,22.655,35.158,22.646,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,15,45,22.658,35.158,22.649,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,14,44.9,22.658,35.158,22.649,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,13,74.6,21.65,35.214,21.635,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,12,76.3,21.632,35.214,21.617,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,11,75.2,21.666,35.214,21.651,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,10,75.3,21.662,35.214,21.647,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,9,99.8,21.042,35.183,21.023,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,8,100.6,20.951,35.173,20.932,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,7,99.8,21.042,35.183,21.023,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,6,100.2,21.011,35.18,20.992,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,5,113.5,20.362,35.121,20.341,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,4,113.2,20.38,35.122,20.359,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,3,125.7,19.804,35.059,19.781,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,2,125.5,19.804,35.059,19.781,NA,NA,NA,NA,NA,NA,NA,NA
"FK","40",1,1,124.8,19.826,35.062,19.803,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,22,5.7,23.652,35.106,23.651,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,21,5.3,23.652,35.106,23.651,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,20,5.6,23.652,35.106,23.651,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,19,5.1,23.652,35.106,23.651,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,18,5.5,23.652,35.106,23.651,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,17,14.9,23.011,35.086,23.008,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,16,14.9,23.011,35.086,23.008,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,15,14.9,23.011,35.086,23.008,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,14,25.6,22.844,35.122,22.839,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,13,25.7,22.841,35.122,22.836,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,12,49.6,22.586,35.173,22.576,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,11,75.2,21.845,35.181,21.83,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,10,75.8,21.822,35.18,21.807,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,9,75.6,21.83,35.18,21.815,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,8,100.6,21.05,35.146,21.031,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,7,100.5,21.054,35.146,21.035,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,6,99.7,21.081,35.147,21.062,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,5,100,21.076,35.147,21.057,NA,NA,NA,NA,NA,NA,NA,NA
