"filename","polarity","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp"
"180205_Smp_L1C33DCM_C.mzML","neg","Smp","MC","L1",33,"DCM",103.5,18,"C","L1C33DCM_C","180205_Smp_L1C33DCM",2018-02-05,2018-02-08 09:27:42
"180205_Smp_L1C33DCM_C.mzML","pos","Smp","MC","L1",33,"DCM",103.5,18,"C","L1C33DCM_C","180205_Smp_L1C33DCM",2018-02-05,2018-02-08 09:27:42
"180205_Smp_L2C2DCMplus20m_C.mzML","neg","Smp","MC","L2",2,"DCMplus20m",143,NA,"C","L2C2DCM+20m_C","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-08 11:08:43
"180205_Smp_L2C2DCMplus20m_C.mzML","pos","Smp","MC","L2",2,"DCMplus20m",143,NA,"C","L2C2DCM+20m_C","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-08 11:08:43
"180205_Poo_TruePoo_Full3.mzML","neg","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 11:59:10
"180205_Poo_TruePoo_Full3.mzML","pos","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 11:59:10
"180205_Std_4uMStdsInMatrix_2.mzML","neg","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 13:40:14
"180205_Std_4uMStdsInMatrix_2.mzML","pos","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 13:40:14
"180205_Std_4uMStdsInH2O_2.mzML","neg","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 14:30:42
"180205_Std_4uMStdsInH2O_2.mzML","pos","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 14:30:42
"180821_Std_4uMStdsMix1InH2O_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 21:43:07
"180821_Std_4uMStdsMix1InH2O_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 21:43:07
"180821_Std_4uMStdsMix2InH2O_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 22:33:38
"180821_Std_4uMStdsMix2InH2O_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 22:33:38
"180821_Std_4uMStdsMix1InMatrix_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 23:24:10
"180821_Std_4uMStdsMix1InMatrix_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 23:24:10
