"cruise","station","cast","rosette","abs_depth","no23_um","po4_um","DON_um","DOP_um","si_um"
"MT","12",2,18,15,0.00186269308515705,0.0230494033369722,4.69192179472357,0.185362386447639,1.52859109147624
"MT","12",2,16,45,0.00217526253393757,0.0253320247061706,4.66577012727672,0.178484560331493,1.85100836078098
"MT","12",2,14,75,0.00318969565672034,0.0579400148023499,4.50305682767483,0.157056882482293,2.97361315064673
"MT","12",2,12,98,0.0638079232191228,0.0946127075251395,4.33219207678088,0.137658037409047,2.99805161033073
"MT","12",2,10,100,0.81998396863348,0.160858843826373,4.19101603136652,0.123884024860274,3.3186416486587
"MT","12",2,9,125,3.10098916477458,0.297888890757981,3.74561780134188,0.0998344944933248,4.18948438138214
"MT","12",2,8,150,5.23096498090186,0.425268551323015,3.55545237766529,0.0865512052011353,7.93621236008718
"MT","12",2,5,175,6.63461340179863,0.51280708453304,3.476417339042,0.0759637874261897,6.64426038609824
"MT","12",2,4,200,7.64943962592666,0.582208724289283,3.58886720828158,NA,9.79697387043555
"MT","12",2,3,250,11.5511981797729,0.834547230354119,3.26452574094076,NA,12.4705747077526
"MT","12",2,2,500,30.1458116234184,2.17600768161367,2.83961740198977,NA,48.9037481830074
"MT","13",1,24,5,0.00270087122143596,0.0394132623081589,4.82422486406847,0.205323024140787,1.2876796147011
"MT","13",1,23,15,0.00216637753699866,0.0419089283384824,4.74851732465356,0.198259097399789,1.20449521317203
"MT","13",1,10,45,0.00151722632507428,0.0292479884773287,4.84923230370191,0.187427155297903,1.29109900340371
"MT","13",1,9,75,0.00124868688807264,0.0450903738510848,4.62270032459343,0.166618784415232,2.63023156670641
"MT","13",1,8,100,0.0278765009256526,0.088182816157261,4.28886001550287,0.159900333630841,3.05809984252269
"MT","13",1,7,105,0.0266249860374527,0.0968033329753947,4.39342320155202,0.149661638062463,2.27268652174985
"MT","13",1,6,125,2.2801356501565,0.271441418861003,3.46069033425939,0.118605641309503,5.15301198579034
"MT","13",1,5,150,3.03256911120599,0.300927451399206,3.83297409921772,0.105585257220846,3.70620736109294
"MT","13",1,4,175,3.37611000689893,0.30503550542402,3.64277059645184,0.0914516559832739,3.94921897653699
"MT","13",1,3,200,5.37576469369289,0.4283222519573,3.56095565743167,0.11123762224402,5.61817186275291
"MT","13",1,2,250,8.19745026435364,0.6168405365139,3.42955882358788,0.0797014761243785,8.63664384858485
"MT","13",1,1,500,27.0341224006152,1.91728421101804,2.86585138782249,NA,41.4529174460649
"MT","14",1,18,5,0.00372332455911472,0.0580495976646808,5.08154378614436,0.211924174663033,1.35936243604864
"MT","14",1,16,15,0.00405339763430835,0.0620365763228807,4.83288980497635,0.195946554647076,1.94457526982527
"MT","14",1,14,45,0.00275182403345029,0.0511611536216332,4.94443257214674,0.198095503578716,1.62439614585314
"MT","14",1,13,75,0.00416747761973766,0.0760431001204305,4.87548004260131,0.181892086133855,1.39399662862316
"MT","14",1,12,100,0.00578662518501393,0.0932334248342382,4.5853344860787,0.140177000292008,1.34508961945735
"MT","14",1,10,105,0.0186962355851255,0.10004870401281,4.64465686265817,0.156577703451809,1.83114885913882
"MT","14",1,8,125,0.840043817739583,0.171748643086078,4.3052976996925,0.105986072070967,1.7483833845462
"MT","14",1,7,150,0.69656037599113,0.138254509175734,4.16451209556686,0.113216084484061,2.64504916763873
